x> y^ xf yf
Frequency (Hz)	Power (dB)
0	-36.2949638
43.0664062	-36.409729
86.1328125	-36.4945297
129.199219	-36.5233002
172.265625	-36.4897537
215.332031	-36.3934593
258.398438	-36.2137985
301.464844	-35.9801826
344.53125	-35.4889565
387.597656	-34.7064552
430.664062	-34.4449806
473.730469	-34.4552727
516.796875	-34.5292625
559.863281	-34.7070656
602.929688	-34.9451141
645.996094	-35.2198486
689.0625	-35.4740181
732.128906	-35.7406273
775.195312	-35.9407959
818.261719	-36.0995865
861.328125	-35.3263397
904.394531	-35.2386017
947.460938	-35.1284103
990.527344	-34.5207062
1033.59375	-34.3692131
1076.66016	-34.3061523
1119.72656	-34.4005241
1162.79297	-34.5672684
1205.85938	-34.7292252
1248.92578	-34.9093399
1291.99219	-35.0475502
1335.05859	-35.179039
1378.125	-35.3166466
1421.19141	-35.453083
1464.25781	-35.6291466
1507.32422	-35.974762
1550.39062	-36.1277199
1593.45703	-35.8211823
1636.52344	-35.4071503
1679.58984	-35.152317
1722.65625	-35.0506401
1765.72266	-34.9893456
1808.78906	-34.9780655
1851.85547	-35.0385971
1894.92188	-35.1665344
1937.98828	-35.4057007
1981.05469	-35.6857414
2024.12109	-36.0191193
2067.1875	-36.3936234
2110.25391	-36.9441452
2153.32031	-37.5767822
2196.38672	-37.7026176
2239.45312	-37.2614021
2282.51953	-37.1690903
2325.58594	-37.1527214
2368.65234	-37.1282463
2411.71875	-37.084507
2454.78516	-37.1337318
2497.85156	-37.1697578
2540.91797	-37.2944374
2583.98438	-37.4262695
2627.05078	-37.5768204
2670.11719	-37.8467674
2713.18359	-38.1120872
2756.25	-38.6801872
2799.31641	-38.835247
2842.38281	-38.5091133
2885.44922	-38.2853355
2928.51562	-38.1031761
2971.58203	-38.079731
3014.64844	-38.0979843
3057.71484	-38.2386169
3100.78125	-38.4290695
3143.84766	-38.6748657
3186.91406	-38.9969406
3229.98047	-39.3470268
3273.04688	-39.7583313
3316.11328	-40.1719246
3359.17969	-40.7760086
3402.24609	-41.3007202
3445.3125	-41.3866081
3488.37891	-41.1818123
3531.44531	-41.1535492
3574.51172	-41.2539291
3617.57812	-41.3093452
3660.64453	-41.3636131
3703.71094	-41.3856964
3746.77734	-41.4668159
3789.84375	-41.5353622
3832.91016	-41.6456947
3875.97656	-41.8129768
3919.04297	-42.1236534
3962.10938	-42.7607231
4005.17578	-43.4138374
4048.24219	-43.9859123
4091.30859	-43.6688232
4134.375	-43.9252396
4177.44141	-43.9979248
4220.50781	-44.4504166
4263.57422	-44.6498528
4306.64062	-44.8685265
4349.70703	-45.1320419
4392.77344	-45.8805351
4435.83984	-46.2583466
4478.90625	-46.6418533
4521.97266	-47.2165184
4565.03906	-47.6317635
4608.10547	-48.2007103
4651.17188	-48.5664291
4694.23828	-48.4515228
4737.30469	-48.3012619
4780.37109	-48.2085533
4823.4375	-48.1929626
4866.50391	-48.2181358
4909.57031	-48.2289543
4952.63672	-48.233448
4995.70312	-48.2903557
5038.76953	-48.4458427
5081.83594	-48.6246796
5124.90234	-48.8964958
5167.96875	-49.2113037
5211.03516	-49.8252068
5254.10156	-50.3689117
5297.16797	-50.6029396
5340.23438	-50.4612007
5383.30078	-50.5693092
5426.36719	-50.7059937
5469.43359	-50.8694344
5512.5	-50.9850464
5555.56641	-51.1729851
5598.63281	-51.3189697
5641.69922	-51.437233
5684.76562	-51.5690231
5727.83203	-51.5042686
5770.89844	-51.8539124
5813.96484	-52.0402756
5857.03125	-52.6389236
5900.09766	-52.9499626
5943.16406	-52.7966156
5986.23047	-52.5519295
6029.29688	-52.4631958
6072.36328	-52.4433327
6115.42969	-52.4212608
6158.49609	-51.9349747
6201.5625	-51.8414459
6244.62891	-51.7927895
6287.69531	-51.7566681
6330.76172	-51.9251633
6373.82812	-52.2955551
6416.89453	-52.6253967
6459.96094	-53.3580589
6503.02734	-53.873642
6546.09375	-54.0231209
6589.16016	-53.9997215
6632.22656	-54.0507011
6675.29297	-54.16605
6718.35938	-54.3126411
6761.42578	-54.4203568
6804.49219	-54.487278
6847.55859	-54.6048279
6890.625	-54.7123184
6933.69141	-54.8191452
6976.75781	-54.8702316
7019.82422	-55.115654
7062.89062	-55.4580383
7105.95703	-55.9351845
7149.02344	-56.1817703
7192.08984	-56.173851
7235.15625	-56.3769608
7278.22266	-56.4855576
7321.28906	-56.5999184
7364.35547	-56.7155724
7407.42188	-56.8109894
7450.48828	-56.9053345
7493.55469	-57.0463409
7536.62109	-57.1428757
7579.6875	-57.0978012
7622.75391	-57.3440895
7665.82031	-57.2512627
7708.88672	-58.0447464
7751.95312	-58.1645088
7795.01953	-58.1762314
7838.08594	-58.1941566
7881.15234	-58.2504311
7924.21875	-58.3049583
7967.28516	-58.3784065
8010.35156	-58.4103432
8053.41797	-58.4356499
8096.48438	-58.3899498
8139.55078	-58.3898544
8182.61719	-58.3709259
8225.68359	-58.3606491
8268.75	-58.4123192
8311.81641	-58.7302399
8354.88281	-59.0365257
8397.94922	-59.1269722
8441.01562	-59.1504211
8484.08203	-59.3284378
8527.14844	-59.4447746
8570.21484	-59.5940781
8613.28125	-59.7497368
8656.34766	-59.8593941
8699.41406	-59.976265
8742.48047	-60.1313057
8785.54688	-60.2448578
8828.61328	-60.3358574
8871.67969	-60.5106316
8914.74609	-60.6108856
8957.8125	-61.1467094
9000.87891	-61.165287
9043.94531	-61.1361122
9087.01172	-61.2677422
9130.07812	-61.3605347
9173.14453	-61.4355354
9216.21094	-61.53899
9259.27734	-61.6179161
9302.34375	-61.6823807
9345.41016	-61.725071
9388.47656	-61.8017921
9431.54297	-61.9000359
9474.60938	-61.7221069
9517.67578	-61.824688
9560.74219	-62.1183891
9603.80859	-62.2427444
