x> y^ xf yf
Frequency (Hz)	Magnitude (amp)
0	-38.7036209
43.0664062	-38.7012138
86.1328125	-38.6422081
129.199219	-38.5115623
172.265625	-38.2851906
215.332031	-38.0653763
258.398438	-37.7081261
301.464844	-37.2304153
344.53125	-36.7550583
387.597656	-35.930191
430.664062	-34.9547539
473.730469	-33.4126778
516.796875	-31.1004982
559.863281	-27.5380936
602.929688	-16.9571381
645.996094	-22.1624851
689.0625	-30.7627563
732.128906	-35.4873276
775.195312	-37.4542465
818.261719	-38.549675
861.328125	-38.9866562
904.394531	-38.7050247
947.460938	-38.2753716
990.527344	-37.1562424
1033.59375	-35.7181396
1076.66016	-34.082428
1119.72656	-31.7222366
1162.79297	-29.9062328
1205.85938	-22.2258511
1248.92578	-12.796442
1291.99219	-26.8621292
1335.05859	-34.7640762
1378.125	-36.8229828
1421.19141	-40.39674
1464.25781	-42.8007774
1507.32422	-44.5607834
1550.39062	-44.3699722
1593.45703	-45.3385277
1636.52344	-43.3470764
1679.58984	-42.1336365
1722.65625	-40.4959221
1765.72266	-35.1063538
1808.78906	-34.1834946
1851.85547	-13.7263536
1894.92188	-32.3002586
1937.98828	-35.6997833
1981.05469	-41.9345932
2024.12109	-44.5446091
2067.1875	-43.8705902
2110.25391	-44.1398163
2153.32031	-41.5968018
2196.38672	-40.3458328
2239.45312	-39.0545845
2282.51953	-36.6944237
2325.58594	-34.7565842
2368.65234	-31.1274834
2411.71875	-28.4337521
2454.78516	-18.1947136
2497.85156	-18.5118866
2540.91797	-27.0061569
2583.98438	-34.3809509
2627.05078	-36.4735756
2670.11719	-38.2425919
2713.18359	-40.7570229
2756.25	-42.4017525
2799.31641	-45.5239372
2842.38281	-45.5641212
2885.44922	-45.3907127
2928.51562	-45.2608986
2971.58203	-44.797245
3014.64844	-38.7345314
3057.71484	-32.0214233
3100.78125	-16.6742992
3143.84766	-33.0380707
3186.91406	-39.7257042
3229.98047	-41.7972832
3273.04688	-42.7674103
3316.11328	-46.3883171
3359.17969	-46.8155746
3402.24609	-48.458889
3445.3125	-47.5387535
3488.37891	-46.6684494
3531.44531	-46.1742249
3574.51172	-45.0616798
3617.57812	-37.0184441
3660.64453	-38.6576195
3703.71094	-22.3282833
3746.77734	-32.759758
3789.84375	-37.0760193
3832.91016	-42.9094086
3875.97656	-44.8881874
3919.04297	-47.3627281
3962.10938	-48.1543999
4005.17578	-49.1322289
4048.24219	-49.8995552
4091.30859	-49.1100121
4134.375	-47.9909477
4177.44141	-45.3910789
4220.50781	-42.9622536
4263.57422	-40.0250931
4306.64062	-30.5274773
4349.70703	-25.9843311
4392.77344	-35.3148193
4435.83984	-42.3582191
4478.90625	-43.0290184
4521.97266	-44.62677
4565.03906	-46.4293594
4608.10547	-48.8899727
4651.17188	-48.2010651
4694.23828	-49.7845917
4737.30469	-51.6557961
4780.37109	-51.4723282
4823.4375	-58.1412888
4866.50391	-43.4519463
4909.57031	-56.4931641
4952.63672	-26.7250462
4995.70312	-52.3103333
5038.76953	-45.7474556
5081.83594	-64.9404831
5124.90234	-54.9924583
5167.96875	-57.424572
5211.03516	-58.3427773
5254.10156	-77.3567505
5297.16797	-61.6645355
5340.23438	-60.7854004
5383.30078	-60.5797729
5426.36719	-55.6825867
5469.43359	-45.6551018
5512.5	-47.7542305
5555.56641	-32.3649635
5598.63281	-36.7486649
5641.69922	-41.0871544
5684.76562	-46.7235298
5727.83203	-49.18647
5770.89844	-49.5757408
5813.96484	-50.0838356
5857.03125	-51.4432564
5900.09766	-54.3658104
5943.16406	-52.7233658
5986.23047	-54.1068382
6029.29688	-52.932209
6072.36328	-55.697422
6115.42969	-48.2762871
6158.49609	-44.9099045
6201.5625	-36.5469818
6244.62891	-47.4615135
6287.69531	-50.2307472
6330.76172	-53.1304665
6373.82812	-53.6301003
6416.89453	-55.9065437
6459.96094	-55.7699547
6503.02734	-56.5045929
6546.09375	-56.8756294
6589.16016	-55.4864349
6632.22656	-57.7873917
6675.29297	-64.1340332
6718.35938	-51.2695999
6761.42578	-65.0628281
6804.49219	-39.4603233
6847.55859	-54.9082603
6890.625	-51.3544579
6933.69141	-56.6101685
6976.75781	-57.4378891
7019.82422	-57.4189568
7062.89062	-57.8298073
7105.95703	-58.7905922
