x> y^ xi yf
Sample	Amplitude
0	0.0747577921
1	0.087834172
2	0.100910552
3	0.113986924
4	0.127063304
5	0.140139684
6	0.153216064
7	0.166292444
8	0.179368824
9	0.192445204
10	0.205521584
11	0.218597949
12	0.231674343
13	0.244750708
14	0.257827103
15	0.270903468
16	0.283979863
17	0.297056228
18	0.310132623
19	0.323208988
20	0.336285353
21	0.349361748
22	0.362438112
23	0.375514507
24	0.388590872
25	0.401667267
26	0.414743632
27	0.427820027
28	0.440896392
29	0.453972787
30	0.467049152
31	0.480125546
32	0.493201911
33	0.506278276
34	0.519354701
35	0.532431066
36	0.545507431
37	0.558583796
38	0.571660221
39	0.584736586
40	0.597812951
41	0.610889375
42	0.62396574
43	0.637042105
44	0.65011847
45	0.663194895
46	0.67627126
47	0.689347625
48	0.70242399
49	0.715500355
50	0.728576779
51	0.741653144
52	0.754729509
53	0.767805874
54	0.780882299
55	0.793958664
56	0.807035029
57	0.820111394
58	0.833187819
59	0.846264184
60	0.859340549
61	0.872416914
62	0.885493338
63	0.898569703
64	0.911646068
65	0.924722433
66	0.937798798
67	0.950875223
68	0.963951588
69	0.963932157
70	0.963912666
71	0.963893235
72	0.963873744
73	0.963854313
74	0.963834822
75	0.963815391
76	0.9637959
77	0.963776469
78	0.963756979
79	0.963737547
80	0.963718057
81	0.963698626
82	0.963679135
83	0.963659704
84	0.963640213
85	0.963620782
86	0.963601291
87	0.96358186
88	0.963562429
89	0.963542938
90	0.963523507
91	0.963504016
92	0.963484585
93	0.963465095
94	0.963445663
95	0.963426173
96	0.963406742
97	0.963387251
98	0.96336782
99	0.963348329
100	0.963328898
101	0.963309407
102	0.963289976
103	0.963270485
104	0.963251054
105	0.963231564
106	0.963212132
107	0.963192701
108	0.963173211
109	0.96315378
110	0.963134289
111	0.963114858
112	0.963095367
113	0.963075936
114	0.963056445
115	0.963037014
116	0.963017523
117	0.962998092
118	0.962978601
119	0.96295917
120	0.96293968
121	0.962920249
122	0.962900758
123	0.962881327
124	0.962861836
125	0.962842405
126	0.962822974
127	0.962803483
128	0.962784052
129	0.962764561
130	0.96274513
131	0.962725639
132	0.962706208
133	0.962686718
134	0.962667286
135	0.962647796
136	0.962628365
137	0.962608874
138	0.962589443
139	0.962569952
140	0.962550521
141	0.96253103
142	0.962511599
143	0.962492108
144	0.962472677
145	0.962453246
146	0.962433755
147	0.962414324
148	0.962394834
149	0.962375402
150	0.962355912
151	0.962336481
152	0.96231699
153	0.962297559
154	0.962278068
155	0.962258637
156	0.962239146
157	0.962219715
158	0.962200224
159	0.962180793
160	0.962161303
161	0.962141871
162	0.962122381
163	0.96210295
164	0.962083519
165	0.962064028
166	0.962044597
167	0.962025106
168	0.962005675
169	0.961986184
170	0.961966753
171	0.961947262
172	0.961927831
173	0.96190834
174	0.961888909
175	0.961869419
176	0.961849988
177	0.961830497
178	0.961811066
179	0.961791575
180	0.961772144
181	0.961752653
182	0.961733222
183	0.961713791
184	0.9616943
185	0.961674869
186	0.961655378
187	0.961635947
188	0.961616457
189	0.961597025
190	0.961577535
191	0.961558104
192	0.961538613
193	0.961519182
194	0.961499691
195	0.96148026
196	0.961460769
197	0.961441338
198	0.961421847
199	0.961402416
200	0.961382926
201	0.961363494
202	0.961344063
203	0.961324573
204	0.961305141
205	0.961285651
206	0.96126622
207	0.961246729
208	0.961227298
209	0.961207807
210	0.961188376
211	0.961168885
212	0.961149454
213	0.961129963
214	0.961110532
215	0.961091042
216	0.96107161
217	0.96105212
218	0.961032689
219	0.961013198
220	0.960993767
221	0.960974336
222	0.960954845
223	0.960935414
224	0.960915923
225	0.960896492
226	0.960877001
227	0.96085757
228	0.960838079
229	0.960818648
230	0.960799158
231	0.960779727
232	0.960760236
233	0.960740805
234	0.960721314
235	0.960701883
236	0.960682392
237	0.960662961
238	0.96064347
239	0.960624039
240	0.960604608
241	0.960585117
242	0.960565686
243	0.960546196
244	0.960526764
245	0.960507274
246	0.960487843
247	0.960468352
248	0.960448921
249	0.96042943
250	0.960409999
251	0.960390508
252	0.960371077
253	0.960351586
254	0.960332155
255	0.960312665
256	0.960293233
257	0.960273743
258	0.960254312
259	0.96023488
260	0.96021539
261	0.960195959
262	0.960176468
263	0.960157037
