x> y^ xf yf
Frequency (Hz)	Power (dB)
0	7.34831429
43.0664062	7.65297318
86.1328125	8.17879868
129.199219	9.1683073
172.265625	13.5951977
215.332031	15.2937117
258.398438	15.2451372
301.464844	14.8440247
344.53125	14.3926201
387.597656	13.9468327
430.664062	12.8867559
473.730469	12.8867111
516.796875	12.9006376
559.863281	12.9527025
602.929688	13.0601587
645.996094	13.2411003
689.0625	13.5618668
732.128906	14.0140457
775.195312	15.5328445
818.261719	20.6557236
861.328125	21.3575344
904.394531	21.3670025
947.460938	21.2015572
990.527344	20.7646637
1033.59375	19.9355221
1076.66016	16.6888466
1119.72656	14.9725361
1162.79297	14.4103527
1205.85938	14.1714439
1248.92578	14.0381842
1291.99219	13.9815693
1335.05859	14.132616
1378.125	14.3218203
1421.19141	18.9450569
1464.25781	19.1930676
1507.32422	19.1938953
1550.39062	18.9132099
1593.45703	18.4356728
1636.52344	17.8256149
1679.58984	16.1267052
1722.65625	10.855649
1765.72266	10.0018797
1808.78906	9.83189297
1851.85547	9.83702374
1894.92188	10.0454855
1937.98828	10.5354443
1981.05469	11.2981176
2024.12109	14.0917664
2067.1875	16.7952957
2110.25391	17.6982574
2153.32031	17.9673328
2196.38672	18.1000977
2239.45312	17.9730377
2282.51953	17.7255421
2325.58594	12.9922333
2368.65234	12.5394669
2411.71875	12.2736826
2454.78516	12.2109804
2497.85156	12.1997843
2540.91797	12.1843185
2583.98438	12.3122301
2627.05078	12.7116594
2670.11719	15.982296
2713.18359	16.2481499
2756.25	16.1452789
2799.31641	15.9028635
2842.38281	15.4135714
2885.44922	14.6241121
2928.51562	11.7950506
2971.58203	9.05256653
3014.64844	8.08745861
3057.71484	7.74245501
3100.78125	7.501513
3143.84766	7.34259176
3186.91406	7.46025276
3229.98047	7.55779457
3273.04688	9.2568779
3316.11328	9.6803875
3359.17969	9.88626099
3402.24609	9.926754
3445.3125	9.92532349
3488.37891	9.75147629
3531.44531	9.24680328
3574.51172	5.83022261
3617.57812	5.37461376
3660.64453	5.21191025
3703.71094	5.11297083
3746.77734	5.06772661
3789.84375	5.12303734
3832.91016	5.25211573
3875.97656	5.8722353
3919.04297	6.97033739
3962.10938	7.2688818
4005.17578	7.33355904
4048.24219	7.36869526
4091.30859	7.17239428
4134.375	7.00769138
4177.44141	5.26801538
4220.50781	4.81157494
4263.57422	4.55476141
4306.64062	4.4464035
4349.70703	4.37415981
4392.77344	4.30147505
4435.83984	4.36852884
4478.90625	4.32086563
4521.97266	5.34486008
4565.03906	5.31909084
4608.10547	5.34712172
4651.17188	5.23233461
4694.23828	5.1051178
4737.30469	4.89924908
4780.37109	4.21788931
4823.4375	3.02282858
4866.50391	2.6332345
4909.57031	2.47312164
4952.63672	2.3270514
4995.70312	2.22618318
5038.76953	2.23679733
5081.83594	2.24877715
5124.90234	2.73075962
5167.96875	3.0004077
5211.03516	3.14861846
5254.10156	3.19496846
5297.16797	3.24828911
5340.23438	3.16714573
5383.30078	3.20615458
5426.36719	2.16972804
5469.43359	2.15753841
5512.5	2.08955455
5555.56641	2.12307835
5598.63281	2.13444901
5641.69922	2.14151144
5684.76562	2.20466638
5727.83203	2.33703899
5770.89844	2.67250109
5813.96484	2.75178766
5857.03125	2.80295515
5900.09766	2.81635499
5943.16406	2.74158692
5986.23047	2.68208194
6029.29688	2.14610147
6072.36328	1.83477747
6115.42969	1.65839255
6158.49609	1.58846796
6201.5625	1.5363766
6244.62891	1.47195554
6287.69531	1.46241736
6330.76172	1.41182423
6373.82812	1.62012863
6416.89453	1.60786128
6459.96094	1.6253984
6503.02734	1.6068095
6546.09375	1.59969771
6589.16016	1.53978419
6632.22656	1.43481624
6675.29297	1.10708177
6718.35938	1.03246808
6761.42578	0.976686001
6804.49219	0.945716262
6847.55859	0.916626811
6890.625	0.896488309
6933.69141	0.888084888
6976.75781	0.956385434
7019.82422	1.0450927
7062.89062	1.0701189
7105.95703	1.08530402
7149.02344	1.10789418
7192.08984	1.081128
7235.15625	1.1010927
7278.22266	0.87880218
7321.28906	0.864230633
7364.35547	0.832178175
7407.42188	0.827693045
7450.48828	0.82453537
7493.55469	0.819351435
7536.62109	0.826060414
7579.6875	0.83019352
7622.75391	0.880009413
7665.82031	0.882477105
7708.88672	0.890575409
7751.95312	0.892259121
7795.01953	0.896663904
7838.08594	0.888975322
7881.15234	0.806891799
7924.21875	0.704611778
7967.28516	0.658977866
8010.35156	0.631346345
8053.41797	0.614317656
8096.48438	0.596526682
8139.55078	0.569237471
8182.61719	0.561938345
8225.68359	0.594716668
8268.75	0.594593644
8311.81641	0.58839643
8354.88281	0.584334075
8397.94922	0.579056859
8441.01562	0.565300524
8484.08203	0.557230353
8527.14844	0.502913117
8570.21484	0.504408062
8613.28125	0.49717325
8656.34766	0.493883699
8699.41406	0.495232254
8742.48047	0.49567163
8785.54688	0.502716541
8828.61328	0.524606109
8871.67969	0.546242774
8914.74609	0.544047952
8957.8125	0.545856655
9000.87891	0.541657984
9043.94531	0.550847769
9087.01172	0.543354452
9130.07812	0.500988603
9173.14453	0.483393192
9216.21094	0.475723296
9259.27734	0.468421936
9302.34375	0.463126749
9345.41016	0.459198207
9388.47656	0.441785544
9431.54297	0.438295156
9474.60938	0.450778186
9517.67578	0.440223515
9560.74219	0.4357481
9603.80859	0.427865058
9646.875	0.418120861
9689.94141	0.403378546
9733.00781	0.375263751
9776.07422	0.349101841
9819.14062	0.347147435
9862.20703	0.337937146
9905.27344	0.335380614
9948.33984	0.33520776
9991.40625	0.333604395
10034.4727	0.332885891
10077.5391	0.355154842
10120.6055	0.352429509
10163.6719	0.346735924
10206.7383	0.344796747
10249.8047	0.338835835
10292.8711	0.34476614
10335.9375	0.340266585
10379.0039	0.32085675
10422.0703	0.32128045
10465.1367	0.32095331
10508.2031	0.319455028
10551.2695	0.318695515
10594.3359	0.318057895
10637.4023	0.319964707
10680.4688	0.321399808
10723.5352	0.318322301
10766.6016	0.309806854
10809.668	0.310303718
10852.7344	0.307001323
10895.8008	0.303178191
10938.8672	0.295129448
10981.9336	0.269230098
11025	0.267199308
11068.0664	0.26776579
11111.1328	0.263991326
11154.1992	0.260474026
11197.2656	0.260484457
11240.332	0.249625981
11283.3984	0.247327894
11326.4648	0.250314981
11369.5312	0.2443441
11412.5977	0.238739446
11455.6641	0.237518787
11498.7305	0.236097097
11541.7969	0.230160624
11584.8633	0.225474522
11627.9297	0.223842368
11670.9961	0.2291466
11714.0625	0.226696074
11757.1289	0.224694774
11800.1953	0.227083594
11843.2617	0.232073098
11886.3281	0.233151749
11929.3945	0.241007313
11972.4609	0.237511501
12015.5273	0.232890487
12058.5938	0.232148841
12101.6602	0.22947073
12144.7266	0.236010984
12187.793	0.233491898
12230.8594	0.229394272
12273.9258	0.230206981
12316.9922	0.230938137
12360.0586	0.229455888
12403.125	0.226146877
12446.1914	0.227162436
12489.2578	0.222160473
12532.3242	0.223480642
12575.3906	0.216908276
12618.457	0.213023752
12661.5234	0.210791633
12704.5898	0.205838144
12747.6562	0.198972866
12790.7227	0.195161
12833.7891	0.183021188
12876.8555	0.183955535
12919.9219	0.186892018
12962.9883	0.186132789
13006.0547	0.186094567
13049.1211	0.185216188
13092.1875	0.183369607
13135.2539	0.180533051
13178.3203	0.187923104
13221.3867	0.18953754
13264.4531	0.18773672
13307.5195	0.186697632
13350.5859	0.183162957
13393.6523	0.184652314
13436.7188	0.181248784
13479.7852	0.187112704
13522.8516	0.187635541
13565.918	0.188435316
13608.9844	0.188216344
13652.0508	0.18981649
13695.1172	0.19001475
13738.1836	0.191379189
13781.25	0.193590119
13824.3164	0.187664375
13867.3828	0.185010254
13910.4492	0.182386175
13953.5156	0.181825593
13996.582	0.180614367
14039.6484	0.179919034
14082.7148	0.172358736
14125.7812	0.16878362
14168.8477	0.171040758
14211.9141	0.171595082
14254.9805	0.170626551
14298.0469	0.170395792
14341.1133	0.171254233
14384.1797	0.169969678
14427.2461	0.167900369
14470.3125	0.166763783
14513.3789	0.166371018
14556.4453	0.163512498
14599.5117	0.162969619
14642.5781	0.161436647
14685.6445	0.156543225
14728.7109	0.16054973
14771.7773	0.161684588
14814.8438	0.162814349
14857.9102	0.160482273
14900.9766	0.161585554
14944.043	0.160675809
14987.1094	0.159575149
15030.1758	0.160168841
15073.2422	0.156885251
15116.3086	0.155182481
15159.375	0.155506656
15202.4414	0.155560479
15245.5078	0.1541145
15288.5742	0.153863892
15331.6406	0.154500633
15374.707	0.154260203
15417.7734	0.153332785
15460.8398	0.153422087
15503.9062	0.153507337
15546.9727	0.153317124
15590.0391	0.152994201
15633.1055	0.153786406
15676.1719	0.152870581
15719.2383	0.151837185
15762.3047	0.152824849
15805.3711	0.152003974
15848.4375	0.151454344
15891.5039	0.15081425
15934.5703	0.149254918
15977.6367	0.148924366
16020.7031	0.14953585
16063.7695	0.14913249
16106.8359	0.147520423
16149.9023	0.147416145
16192.9688	0.146255538
16236.0352	0.146159753
16279.1016	0.145966366
16322.168	0.145277873
16365.2344	0.144557029
16408.3008	0.143093228
16451.3672	0.142571807
16494.4336	0.142749667
16537.5	0.140981421
16580.5664	0.141035393
16623.6328	0.140955657
16666.6992	0.140551805
16709.7656	0.139883369
16752.832	0.14048323
16795.8984	0.140343666
16838.9648	0.140494615
16882.0312	0.140590951
16925.0977	0.140611157
16968.1641	0.141324878
17011.2305	0.141175896
17054.2969	0.140950486
17097.3633	0.14136517
17140.4297	0.140904218
17183.4961	0.14129144
17226.5625	0.140642479
17269.6289	0.140841454
17312.6953	0.14155218
17355.7617	0.141746655
17398.8281	0.141929865
17441.8945	0.142895207
17484.9609	0.142991215
17528.0273	0.143550515
17571.0938	0.143658355
17614.1602	0.143153802
17657.2266	0.142017812
17700.293	0.140612543
17743.3594	0.141275913
17786.4258	0.140351459
17829.4922	0.138797209
17872.5586	0.137797654
17915.625	0.138367295
17958.6914	0.138308987
18001.7578	0.137949392
18044.8242	0.137626529
18087.8906	0.137377158
18130.957	0.138010859
18174.0234	0.138459638
18217.0898	0.137136877
18260.1562	0.136479989
18303.2227	0.136022195
18346.2891	0.13581039
18389.3555	0.135592729
18432.4219	0.134719968
18475.4883	0.134438559
18518.5547	0.135098636
18561.6211	0.135439023
18604.6875	0.135601208
18647.7539	0.134763241
18690.8203	0.135354444
18733.8867	0.136173725
18776.9531	0.135549128
18820.0195	0.135475665
18863.0859	0.135634243
18906.1523	0.134692252
18949.2188	0.134494558
18992.2852	0.134854928
19035.3516	0.135182038
19078.418	0.134408161
19121.4844	0.134386569
19164.5508	0.134336054
19207.6172	0.134157196
19250.6836	0.13451457
19293.75	0.134615272
19336.8164	0.134657949
19379.8828	0.134460643
19422.9492	0.13362518
19466.0156	0.133161008
19509.082	0.133543223
19552.1484	0.133518323
19595.2148	0.132698148
19638.2812	0.132647738
19681.3477	0.133572355
19724.4141	0.132847369
19767.4805	0.132279769
19810.5469	0.132925227
19853.6133	0.13291271
19896.6797	0.132525757
19939.7461	0.131886572
19982.8125	0.131577551
20025.8789	0.132735863
20068.9453	0.13204661
20112.0117	0.131671369
20155.0781	0.130026147
20198.1445	0.129962981
20241.2109	0.129769266
20284.2773	0.129106686
20327.3438	0.130374953
20370.4102	0.131003782
20413.4766	0.131667137
20456.543	0.131841138
20499.6094	0.132428542
20542.6758	0.132158935
20585.7422	0.131895959
20628.8086	0.131807119
20671.875	0.131866515
20714.9414	0.131314412
20758.0078	0.130667806
20801.0742	0.130228564
20844.1406	0.129078925
20887.207	0.129835576
20930.2734	0.128332764
20973.3398	0.128478602
21016.4062	0.12817654
21059.4727	0.128875256
21102.5391	0.128194734
21145.6055	0.128085569
21188.6719	0.128725395
21231.7383	0.126876816
21274.8047	0.125741944
21317.8711	0.124886572
21360.9375	0.123550102
21404.0039	0.123632498
21447.0703	0.123420462
21490.1367	0.123346478
21533.2031	0.123171717
21576.2695	0.123948313
21619.3359	0.124575734
21662.4023	0.125122741
21705.4688	0.124654233
21748.5352	0.125535056
21791.6016	0.124864638
21834.668	0.125137225
21877.7344	0.125177667
21920.8008	0.125289813
21963.8672	0.124849349
22006.9336	0.125559568
22050	0.125280559
