x> y^ xf yf
Frequency (Hz)	Magnitude (amp)
0	5.81860495
43.0664062	5.82021952
86.1328125	5.85989141
129.199219	5.94869661
172.265625	6.10576916
215.332031	6.26226091
258.398438	6.52519703
301.464844	6.89412546
344.53125	7.28193903
387.597656	8.00738049
430.664062	8.95905685
473.730469	10.699564
516.796875	13.962883
559.863281	21.0424023
602.929688	71.144783
645.996094	39.0729065
689.0625	14.51651
732.128906	8.42623711
775.195312	6.71873713
818.261719	5.92265368
861.328125	5.63206005
904.394531	5.81766701
947.460938	6.1126771
990.527344	6.95324945
1033.59375	8.20527363
1076.66016	9.9055481
1119.72656	12.9983482
1162.79297	16.0209541
1205.85938	38.7888985
1248.92578	114.862404
1291.99219	22.7453976
1335.05859	9.15790844
1378.125	7.22521734
1421.19141	4.78809738
1464.25781	3.63045502
1507.32422	2.96456409
1550.39062	3.03040981
1593.45703	2.71065092
1636.52344	3.40915036
1679.58984	3.92028975
1722.65625	4.73373461
1765.72266	8.80404472
1808.78906	9.79096031
1851.85547	103.200623
1894.92188	12.1614971
1937.98828	8.22263145
1981.05469	4.01116228
2024.12109	2.97008944
2067.1875	3.20974517
2110.25391	3.1117816
2153.32031	4.17022848
2196.38672	4.81624222
2239.45312	5.58818483
2282.51953	7.33295012
2325.58594	9.16580963
2368.65234	13.91957
2411.71875	18.9807091
2454.78516	61.6970444
2497.85156	59.4847565
2540.91797	22.3713493
2583.98438	9.57089233
2627.05078	7.52178955
2670.11719	6.13578796
2713.18359	4.5935545
2756.25	3.80112696
2799.31641	2.65340209
2842.38281	2.64115524
2885.44922	2.69441462
2928.51562	2.73498511
2971.58203	2.88494587
3014.64844	5.79793644
3057.71484	12.5582399
3100.78125	73.4996109
3143.84766	11.1711149
3186.91406	5.17267036
3229.98047	4.07507801
3273.04688	3.64442825
3316.11328	2.4020617
3359.17969	2.28676319
3402.24609	1.89258564
3445.3125	2.10408044
3488.37891	2.32582736
3531.44531	2.46200418
3574.51172	2.79844022
3617.57812	7.06444025
3660.64453	5.84950256
3703.71094	38.3341484
3746.77734	11.5348549
3789.84375	7.01776743
3832.91016	3.58533311
3875.97656	2.85489869
3919.04297	2.147156
3962.10938	1.96010828
4005.17578	1.75141287
4048.24219	1.60332787
4091.30859	1.75589859
4134.375	1.99734282
4177.44141	2.69430089
4220.50781	3.56358624
4263.57422	4.99741411
4306.64062	14.9150991
4349.70703	25.164217
4392.77344	8.59526157
4435.83984	3.82022619
4478.90625	3.53629994
4521.97266	2.94212747
4565.03906	2.39073801
4608.10547	1.8009491
4651.17188	1.94960546
4694.23828	1.62468946
4737.30469	1.30981588
4780.37109	1.33777678
4823.4375	0.620777071
4866.50391	3.36823726
4909.57031	0.750484645
4952.63672	23.1072178
4995.70312	1.2147398
5038.76953	2.58599234
5081.83594	0.283776104
5124.90234	0.892024994
5167.96875	0.674173176
5211.03516	0.606542349
5254.10156	0.0679457933
5297.16797	0.41378358
5340.23438	0.457857072
5383.30078	0.468825638
5426.36719	0.823892713
5469.43359	2.61363459
5512.5	2.05252528
5555.56641	12.0712395
5598.63281	7.28730106
5641.69922	4.42224026
5684.76562	2.31112528
5727.83203	1.74051011
5770.89844	1.6642288
5813.96484	1.56966925
5857.03125	1.34226191
5900.09766	0.95875895
5943.16406	1.15832841
5986.23047	0.987775087
6029.29688	1.13080966
6072.36328	0.822486639
6115.42969	1.93279421
6158.49609	2.84776878
6201.5625	7.45848846
6244.62891	2.12287474
6287.69531	1.54334378
6330.76172	1.10529125
6373.82812	1.04350603
6416.89453	0.802920818
6459.96094	0.815647125
6503.02734	0.749497712
6546.09375	0.718155622
6589.16016	0.842710197
6632.22656	0.646592021
6675.29297	0.311385393
6718.35938	1.36936772
6761.42578	0.279806942
6804.49219	5.33315086
6847.55859	0.900713921
6890.625	1.35605443
6933.69141	0.740442872
6976.75781	0.673140109
7019.82422	0.674609005
7062.89062	0.643442273
7105.95703	0.576063395
7149.02344	0.55598861
7192.08984	0.371919721
7235.15625	0.454926461
7278.22266	0.432627946
7321.28906	0.380012006
7364.35547	0.639174879
7407.42188	2.18380928
7450.48828	2.58100867
7493.55469	1.36825955
7536.62109	0.965480566
7579.6875	0.785778642
7622.75391	0.807277381
7665.82031	0.69906491
7708.88672	0.665051699
7751.95312	0.594710529
7795.01953	0.682953238
7838.08594	0.64625448
7881.15234	0.606829405
7924.21875	0.565746427
7967.28516	0.784330428
8010.35156	0.662858963
8053.41797	1.60212302
8096.48438	0.423740774
8139.55078	0.624990821
8182.61719	0.467986077
8225.68359	0.472512424
8268.75	0.477714062
8311.81641	0.460056275
